x,y,z
148,0,1086
95,0,1115
110,2,898
139,1,909
167,1,917
282,0,972
30,0,894
85,2,917
129,2,880
272,1,982
153,3,870
222,16,908
237,10,914
105,2,936
242,6,915
248,0,1087
144,1,851
214,3,910
127,3,878
245,1,963
232,4,894
240,1,963
193,4,889
176,1,855
248,3,1004
163,3,864
143,1,873
232,3,884
221,3,892
201,5,878
134,1,917
147,0,1047
238,0,1060
274,8,961
223,10,913
70,0,893
212,1,897
245,1,1027
170,0,885
245,0,1027
143,1,956
215,4,885
160,3,871
228,14,908
181,1,899
179,0,999
239,8,961
237,4,916
194,1,889
88,0,1166
91,0,888
228,11,912
192,0,844
271,0,1115
288,0,1056
226,4,945
287,0,983
279,0,984
268,1,974
137,0,1137
186,2,868
195,0,843
77,0,944
235,2,893
137,1,887
241,1,985
172,2,857
176,1,988
72,0,1048
247,5,897
143,0,862
147,1,845
135,0,929
156,0,1040
166,0,878
237,1,977
126,7,879
186,10,883
141,4,914
245,1,999
166,11,854
178,0,850
247,25,967
123,0,887
206,6,893
229,1,968
214,0,972
187,1,867
191,4,886
140,9,844
152,6,885
162,2,844
140,0,916
116,1,1020
285,9,971
174,3,888
147,2,853
220,2,895
243,0,985
283,1,936
133,2,832
164,0,850
184,0,884
99,3,849
215,0,951
236,0,1044
199,0,874
267,0,976
183,3,889
177,0,857
194,1,861
188,1,874
129,1,877
217,0,903
52,3,971
252,2,1012
235,12,890
214,7,881
201,6,894
243,0,1084
163,0,839
216,4,881
240,0,974
218,0,983
214,1,871
244,3,922
174,2,878
115,2,881
212,1,959
94,2,899
231,0,1005
236,1,894
232,0,977
165,0,832
236,2,895
58,1,875
250,5,959
244,0,1034
234,11,962
286,5,968
83,0,1042
211,0,975
231,2,934
74,4,914
146,3,890
169,5,888
288,2,1036
241,2,984
293,4,940
142,2,854
153,0,849
209,7,949
88,4,903
160,0,913
187,9,886
115,0,1062
189,1,940
189,12,881
297,0,999
171,0,1074
228,3,1007
215,0,935
240,16,982
47,3,1033
207,0,880
163,0,861
140,1,881
132,2,1055
242,1,897
139,0,1136
239,2,1057
161,3,875
128,6,877
225,0,940
63,1,898
233,2,958
190,4,864
146,4,842
152,4,866
211,13,905
144,0,856
99,6,893
182,7,887
